"item","definition","uni_lemma","type","IPA"
270,"badeværelse","bathroom","word"," bˈæðeʋˌɛʌlsɜ"
271,"køleskab","refrigerator","word"," kˈœleskˌæb"
273,"bord","table","word"," bˈoʁ"
274,"ovn","oven","word"," ˈʌwn"
275,"trapper","stairs","word"," tʁˈɑpʌ"
277,"potte","potty","word"," pˈʌtɜ"
278,"tv","tv","word"," tˌeːʋˈe"
279,"dør","door","word"," dˈœr"
280,"seng","bed","word"," sˈeŋ"
282,"garage","garage","word"," ɡɑʁˈɑːʃə"
284,"vask","sink","word"," ʋˈæsk"
285,"gyngestol","rocking chair","word"," ɡˈœŋestˌol"
286,"skuffe","drawer","word"," skˈɔfɜ"
288,"høj stol","high chair","word"," hˈœj stˈol"
289,"sofa","couch","word"," sˈofæ"
290,"vindue","window","word"," ʋˈenduː"
291,"komfur","stove","word"," kʌmfˈur"
292,"soveværelse","bedroom","word"," sˈʌuˌɛʋɛˌʌlsɜ"
293,"vugge","crib","word"," ʋˈɒɡɜ"
294,"kravlegård","play pen","word"," kʁˈɑʋleɡˌɔː"
295,"stol","chair","word"," stˈol"
298,"måne","moon","word"," mˈɔnɜ"
299,"sol","sun","word"," sˈol"
300,"blomst","flower","word"," blˈʌmst"
302,"sten","rock (object)","word"," stˈen"
304,"græsslåmaskine","lawn mower","word"," ɡʁˈæsslɔmˌæskinɜ"
307,"regn","rain","word"," ʁˈajn"
308,"stjerne","star","word"," stʃˈɛrnɜ"
315,"gynge","swing (object)","word"," ɡˈœŋɜ"
316,"skovl","shovel","word"," skˈʌwl"
317,"træ","tree","word"," tʁˈɛ"
320,"vand","water (not beverage)","word"," ʋˈæn"
321,"himmel","sky","word"," hˈeməl"
322,"slæde","sled","word"," slˈɛðɜ"
324,"kælk","sled","word"," kˈɛlk"
325,"sne","snow","word"," snˈe"
329,"fest","party","word"," fˈest"
330,"skole","school","word"," skˈolɜ"
331,"(benzin)tanken","gas station","word"," bensˈin tˈankən"
332,"forretning","business","word"," fˈʌrʁætnˌeŋ"
335,"have","garden","word"," hˈæʋɜ"
336,"stranden","beach","word"," stʁˈɑnən"
338,"hjem","home","word"," jˈɛm"
339,"svømmehal","pool","word"," sʋˈœmehˌæl"
340,"butik","store","word"," butˈik"
341,"hus","house","word"," hˈus"
342,"udenfor","outside","word"," ˈuðənfʌ"
344,"kirke","church","word"," kˈirkɜ"
345,"zoologisk have","zoo","word"," soːlˈoɡˈisɡ hˈæʋɜ"
349,"park","park","word"," pˈɑrk"
350,"baby","baby","word"," bˈeibˌi"
351,"farfar","grandpa","word"," fˈɑrfɑr"
352,"moster","aunt","word"," mˈʌstʌ"
353,"babysitters navn","babysitter's name","word"," bˈeibˌisitˌʌs nˈɑwn"
354,"farmor","grandma","word"," fˈɑrmor"
355,"oldefar","great grandpa","word"," ˈʌlefˌɑr"
356,"barn","child","word"," bˈɑrn"
357,"faster","aunt","word"," fˈæstʌ"
358,"olde(mor)","great grandma","word"," ˈʌlɜ mˈor"
359,"barnets eget navn","child's own name","word"," bˈɑrnəðs ˈaːjəð nˈɑwn"
361,"onkel","uncle","word"," ˈonkəl"
362,"bedstefar","grandpa","word"," bˈɛstɛfˌɑr"
364,"person","person","word"," pɛrsˈon"
365,"bedste(mor)","grandma","word"," bˈɛstɜ mˈor"
367,"pige","girl","word"," pˈiːə"
368,"brandmand","firefighter","word"," bʁˈɑnmæn"
370,"politi","police","word"," pˌolitˈi"
371,"bror","brother","word"," bʁˈor"
372,"lærer","teacher","word"," lˈɛʌ"
375,"mand","man","word"," mˈæn"
376,"søster","sister","word"," sˈœstʌ"
377,"dagplejemors navn","babysitter’s name","word"," dˈawplajˌɛmors nˈɑwn"
378,"menneske","people","word"," mˈɛneskɜ"
379,"tante","aunt","word"," tˈæntɜ"
380,"dame","lady","word"," dˈæmɜ"
381,"mor","mommy","word"," mˈor"
383,"dreng","boy","word"," dʁˈæŋ"
384,"morbror","uncle","word"," mˈorbʁor"
386,"far","daddy","word"," fˈɑr"
387,"morfar","grandpa","word"," mˈʌːfɑr"
388,"farbror","uncle","word"," fˈɑrbʁor"
389,"mormor","grandma","word"," mˈʌːmor"
390,"aftensmad","dinner","word"," ˈaftənsmˌæð"
392,"shh","shh","word"," ˌeshˌɔːhˈɔː"
393,"bade","bath","word"," bˈæðɜ"
394,"hej","hi","word"," hˈaj"
395,"sidde på potte","go potty","word"," sˈeðɜ pɔ pˈʌtɜ"
397,"hej hej","bye","word"," hˈaj hˈaj"
399,"borte tit","peekaboo","word"," bˈʌrtɜ tˈit"
403,"ja","yes","word"," jˈæ"
404,"sove til middag","nap","word"," sˈʌuɜ tel mˈedæ"
406,"klappe kage","pattycake","word"," klˈapɜ kˈæːjə"
408,"frokost","lunch","word"," fʁˈokʌst"
409,"morgenmad","breakfast","word"," mˈʌːɜnmˌæð"
410,"tak","thank you","word"," tˈak"
412,"nej","no","word"," nˈaj"
413,"vent","wait","word"," ʋˈent"
416,"vil","wanna","word"," ʋˈel"
420,"bide","bite","word"," bˈiðɜ"
421,"kramme","hug","word"," kʁˈɑmɜ"
422,"slutte","finish","word"," slˈutɜ"
424,"kysse","kiss","word"," kˈœsɜ"
425,"slå","hit","word"," slˈɔ"
430,"køre","drive","word"," kˈœːʁʌ"
431,"smide","throw","word"," smˈiðɜ"
432,"danse","dance","word"," dˈænsɜ"
434,"smile","smile","word"," smˈilɜ"
438,"drikke","drink (action)","word"," dʁˈekɜ"
440,"sove","sleep","word"," sˈʌuɜ"
441,"elske","love","word"," ˈelskɜ"
442,"lege","play","word"," lˈajɜ"
443,"sparke","kick","word"," spˈɑrkɜ"
444,"falde","fall","word"," fˈælɜ"
451,"lukke","close","word"," lˈɔkɜ"
452,"spise","eat","word"," spˈisɜ"
454,"læse","read","word"," lˈɛsɜ"
456,"få","get","word"," fˈɔ"
457,"løbe","run","word"," lˈœbɜ"
458,"standse","stop","word"," stˈænsɜ"
462,"give","give","word"," ɡˈiʋɜ"
463,"made","feed","word"," mˈæðɜ"
464,"svømme","swim","word"," sʋˈœmɜ"
467,"synge","sing","word"," sˈœŋɜ"
468,"græde","cry","word"," ɡʁˈæðɜ"
470,"sætte","put","word"," sˈɛtɜ"
471,"gynge","swing (action)","word"," ɡˈœŋɜ"
475,"plaske","splash","word"," plˈæskɜ"
476,"tage","take","word"," tˈæːjə"
478,"puste","blow","word"," pˈustɜ"
479,"tegne","draw","word"," tˈajnɜ"
480,"gå","walk","word"," ɡˈɔ"
481,"putte","put","word"," pˈutɜ"
482,"trække","pull","word"," tʁˈækɜ"
484,"ride","ride","word"," ʁˈiðɜ"
491,"tørre af","wipe","word"," tˈœʁɜ ˈæ"
492,"hjælpe","help","word"," jˈɛlpɜ"
493,"rydde op","clean (action)","word"," ʁˈyðɜ ˈʌp"
494,"vaske","wash","word"," ʋˈæskɜ"
498,"holde øje med","watch (action)","word"," hˈʌlɜ ˈʌjɜ mˈeð"
499,"røre","touch","word"," ʁˈœːʁʌ"
500,"vise","show","word"," ʋˈisɜ"
501,"hoppe","jump","word"," hˈʌpɜ"
502,"se","see","word"," sˈeʔ"
508,"sige","say","word"," sˈiːə"
509,"ødelægge","break","word"," ˈœːðəlˌɛɡɜ"
511,"skrive","write","word"," skʁˈiʋɜ"
513,"kigge","look","word"," kˈiɡɜ"
514,"skubbe","push","word"," skˈɔbɜ"
515,"åbne","open (action)","word"," ˈɔbnɜ"
516,"kilde","tickle","word"," kˈilɜ"
517,"skynde sig","hurry","word"," skˈœnɜ sˈaj"
520,"bange","scared","word"," bˈaŋɜ"
521,"hård","hard","word"," hˈʌːʔ"
524,"i stykker","broken","word"," i stˈœkʌ"
526,"beskidt","dirty","word"," beskˈit"
528,"stor","big","word"," stˈor"
531,"sulten","hungry","word"," sˈultən"
532,"blød","soft","word"," blˈœð"
533,"kold","cold","word"," kˈʌl"
535,"blå","blue","word"," blˈɔ"
536,"køn","pretty","word"," kˈœn"
537,"syg","sick","word"," sˈy"
540,"sød","cute","word"," sˈœð"
541,"fin","fine","word"," fˈin"
543,"søvnig","sleepy","word"," sˈœwni"
544,"forsigtig","careful","word"," fʌsˈeɡti"
545,"lille","little (description)","word"," lˈilɜ"
548,"mørk","dark","word"," mˈœrk"
549,"tom","empty","word"," tˈʌm"
550,"fræk","bad","word"," fʁˈæk"
552,"træt","tired","word"," tʁˈæt"
554,"(gør) ondt","hurt (description)","word"," ɡˈœr ˈont"
558,"tør","dry (description)","word"," tˈœr"
559,"gammel","old","word"," ɡˈaməl"
560,"pæn","nice","word"," pˈɛn"
561,"tørstig","thirsty","word"," tˈœrsti"
562,"glad","happy","word"," ɡlˈæð"
563,"rar","gentle","word"," ʁˈɑr"
564,"ulækker","yucky","word"," ulˈɛkʌ"
565,"god","good","word"," ɡˈoð"
566,"ren","clean (description)","word"," ʁˈen"
567,"varm","hot","word"," ʋˈɑrm"
569,"rød","red","word"," ʁˈœð"
574,"hurtig","fast","word"," hˈɔrti"
575,"slem","naughty","word"," slˈem"
576,"væk","all gone","word"," ʋˈɛk"
579,"våd","wet (description)","word"," ʋˈɔð"
585,"morgen","morning","word"," mˈʌːɜn"
586,"dag","day","word"," dˈæj"
587,"i aften","tonight","word"," i ˈaftən"
588,"nat","night","word"," nˈæt"
590,"i dag","today","word"," i dˈæj"
591,"nu","now","word"," nˈu"
594,"senere","later","word"," sˈenɜˌʌ"
596,"i morgen","tomorrow","word"," i mˈʌːɜn"
599,"du","you","word"," dˈu"
600,"mig","me","word"," mˈaj"
604,"den","it","word"," dˈɛn"
605,"hans","his","word"," hˈæns"
606,"min","mine","word"," mˈin"
607,"denne","this","word"," dˈɛnɜ"
614,"hendes","her","word"," hˈenəs"
619,"dette","this","word"," dˈɛtɜ"
623,"jeg","i","word"," jˈai"
627,"din","your","word"," dˈin"
629,"hvad","what","word"," ʋˈæ"
630,"hvor","where (question)","word"," ʋˈʌr"
631,"hvornår","when (question)","word"," ʋʌnˈɔʔ"
632,"hvem","who","word"," ʋˈɛm"
633,"hvordan","how","word"," ʋʌdˈæn"
635,"hvorfor","why","word"," ʋʌfˈʌ"
636,"af","off","word"," ˈæ"
638,"oppe","up","word"," ˈʌpɜ"
639,"bagved","back (location)","word"," bˈæʋeð"
643,"i","in","word"," ˈi"
646,"ind","in","word"," ˈen"
647,"på","on","word"," pˈɔ"
648,"der","there","word"," dˈɛr"
649,"inde","in","word"," ˈenɜ"
652,"inden i","inside","word"," ˈenən ˈi"
656,"ud","out","word"," ˈuð"
659,"ude","out of","word"," ˈuðɜ"
664,"ned","down","word"," nˈeð"
665,"under","under","word"," ˈɔnʌ"
667,"nede","down","word"," nˈeðɜ"
674,"væk","away","word"," ʋˈɛk"
676,"op","up","word"," ˈʌp"
677,"alle","all","word"," ˈælɜ"
678,"det","that","word"," dˈe"
680,"(en) anden","another","word"," eːn ˈænən"
683,"(et) andet","another","word"," et ˈænəð"
685,"mere","more","word"," mˈer"
687,"ikke","not","word"," ˈekɜ"
688,"nogen","some","word"," nˈoːən"
690,"ingen","none","word"," ˈeŋən"
691,"noget","some","word"," nˈowð"
693,"intet","nothing","word"," ˈentəð"
697,"samme","same","word"," sˈamɜ"
